كِتابْهَا;her book (F SG)
رَأيْ;opinion (M SG)
سَكن;residence (M SG)
وَالِدَة;mother (F SG)
مُدَرِس;teacher (M SG)
مِعطَف;coat (M SG)
كِتَاب;book (M SG)
صُورَة;picture (F SG)
قَلمَكُم;your pen (M SG 2P)
لِلَبنَك;your milk (M SG)
تَطبِيق;application (M SG)
نِصَف;half (M SG)
فُرن;oven (M SG)
اِسمُكُم;your name (M SG 2P)
مُضَارِع;the present (in grammar) (M SG)
اليَوْم;the day (M SG)
اسِم فاعِل;active participle (M SG)
اِسم;name (M SG)
حافِلَة;bus (F SG)
اِختِبار;test (M SG)
فايِز;winner (M SG)
العِلُوم;the sciences (F PL)
الاثنين;Monday (M DU)
جَدَّة;grandmother (F SG)
صَندُوق;box (M SG)
مَفعُول بِه;direct object (M SG)
مَالِك;owner (M SG)
شُكر;gratitude (M SG)
الجَوْ;the weather (M SG)
الصحرَاءُ;the desert (F SG)
أُخت;sister (F SG)
بَلد;country (M SG)
طَالِب;student (M SG)
ثَلج;snow (M SG)
إيجار;rent (M SG)
الشاعِر;the poet (M SG)
ضَمِير الغَائِب;third person pronoun (M SG)
أب;father (M SG)
بأْب;with door (M SG)
قَلْمَك;your pen (M SG)
جَدْوَل;table, schedule, chart (M SG)
طَبق;plate (M SG)
حال;state, condition (M SG)
إثنان;two (M DU)
يَمِين;right (as in direction or oath) (M SG)
الْكتاب;the book (M SG)
مَواد;materials (F PL)
الْقمر;the moon (M SG)
الصَّراط;the path (M SG)
أربعَة عَشر;fourteen (F SG)
جَد;grandfather (M SG)
طَبِيبَة;female doctor (F SG)
مَسجِدٌ;mosque (M SG)
ياصدِيقي ؟;my friend (M SG)
أحدَ عَشر;eleven (M SG)
أَخ;brother (M SG)
تِسعَة;nine (F SG)
شاطِئ;beach (M SG)
الْجمل;the camel (M SG)
اِسمُهُم;their name (M PL 3P)
رَبِيع;spring (M SG)
ضَيْف;guest (M SG)
مَائَة;hundred (F SG)
ماضي;past (M SG)
قَلَمَهَا;her pen (F SG 3S)
بِنت;girl (F SG)
أُسرَة;family (F SG)
الحيَاة;life (F SG)
جُمْلَة;sentence (F SG)
سِجَاد;carpet (F SG)
سَلام;peace (M SG)
زَمَن المستَقبَل;future time (M SG)
كِتاب المدرسَة;the school book (M SG)
السَمَاءُ;the sky (F SG)
عَالَم;world (M SG)
أمثلة;examples (F PL)
صَفر;zero (M SG)
درجَة;degree (F SG)
